Tue Feb 13 20:55:02 2018 || Line: 8 || Contextual Name: main || Type: Note || Description: Test || Other: Did it work?
Tue Feb 13 21:07:38 2018 || Line: 8 || Contextual Name: main || Type: Warning || Description: Test || Other: Did it work?
Tue Feb 13 21:07:38 2018 || Line: 8 || Contextual Name: main || Type: Announce || Description: Test || Other: Did it work?
Tue Feb 13 21:07:38 2018 || Line: 8 || Contextual Name: main || Type: Note || Description: Test || Other: Did it work?
Tue Feb 13 21:09:52 2018 || Line: 8 || Contextual Name: main || Type: Note || Description: Test || Other: Did it work?
Tue Feb 13 21:09:52 2018 || Line: 8 || Contextual Name: main || Type: Error || Description: Test || Other: Did it work?
Tue Feb 13 21:09:52 2018 || Line: 8 || Contextual Name: main || Type: Warning || Description: Test || Other: Did it work?
Tue Feb 13 21:09:52 2018 || Line: 8 || Contextual Name: main || Type: Announce || Description: Test || Other: Did it work?
Tue Feb 13 21:09:52 2018 || Line: 8 || Contextual Name: main || Type: Note || Description: Test || Other: Did it work?
Tue Feb 13 21:10:17 2018 || Line: 8 || Contextual Name: main || Type: Note || Description: Test || Other: Did it work?
Tue Feb 13 21:10:17 2018 || Line: 8 || Contextual Name: main || Type: Error || Description: Test || Other: Did it work?
Tue Feb 13 21:10:17 2018 || Line: 8 || Contextual Name: main || Type: Warning || Description: Test || Other: Did it work?
Tue Feb 13 21:10:17 2018 || Line: 8 || Contextual Name: main || Type: Announce || Description: Test || Other: Did it work?
Tue Feb 13 21:10:17 2018 || Line: 8 || Contextual Name: main || Type: Note || Description: Test || Other: Did it work?
Tue Feb 13 21:13:37 2018 || Line: 8 || Contextual Name: main || Type: Note || Description: Test || Other: Did it work?
Tue Feb 13 21:13:37 2018 || Line: 8 || Contextual Name: main || Type: Error || Description: Test || Other: Did it work?
Tue Feb 13 21:13:37 2018 || Line: 8 || Contextual Name: main || Type: Warning || Description: Test || Other: Did it work?
Tue Feb 13 21:13:37 2018 || Line: 8 || Contextual Name: main || Type: Announce || Description: Test || Other: Did it work?
Tue Feb 13 21:13:37 2018 || Line: 8 || Contextual Name: main || Type: Note || Description: Test || Other: Did it work?
Tue Feb 13 21:16:33 2018 || Line: 8 || Contextual Name: main || Type: Note || Description: Test || Other: Did it work?
Tue Feb 13 21:16:33 2018 || Line: 8 || Contextual Name: main || Type: Error || Description: Test || Other: Did it work?
Tue Feb 13 21:16:33 2018 || Line: 8 || Contextual Name: main || Type: Warning || Description: Test || Other: Did it work?
Tue Feb 13 21:16:33 2018 || Line: 8 || Contextual Name: main || Type: Announce || Description: Test || Other: Did it work?
Tue Feb 13 21:16:33 2018 || Line: 8 || Contextual Name: main || Type: Note || Description: Test || Other: Did it work?
Tue Feb 13 21:17:14 2018 || Line: 8 || Contextual Name: main || Type: Note || Description: Test || Other: Did it work?
Tue Feb 13 21:17:14 2018 || Line: 8 || Contextual Name: main || Type: Error || Description: Test || Other: Did it work?
Tue Feb 13 21:17:14 2018 || Line: 8 || Contextual Name: main || Type: Warning || Description: Test || Other: Did it work?
Tue Feb 13 21:17:14 2018 || Line: 8 || Contextual Name: main || Type: Announce || Description: Test || Other: Did it work?
Tue Feb 13 21:17:14 2018 || Line: 8 || Contextual Name: main || Type: Note || Description: Test || Other: Did it work?
